Our_ID,Native_id,gst_number,Company Name,Category(Search),Entity,Functionalities,Address,HQ_Country_City_Address,profile_url,catalog_mobile_url,Year_Of_Establishment,Ownership_Type,Employee_Size,Revenue_Range,Main_Channels,Markets_Served,Sustainability_Traceability_Notes,Certifications,Confidence_Rating,Key_Contact_Person_Designation,Key_Contact_Person,email,Production_Sites,Export_Destinations,Key_Clients,Source_URLs ,Collection_Date,Recent_News,Short_Overview,Product_Portfolio,map_url
,300049,27AAACN9074G1Z9,NEW ALLIANCE FINE CHEM PRIVATE LIMITED,Amino Acids manufacturer,Raw material,Manufacturer | Exporter | Supplier,"3 /4, Saurabh CHSL, 65,  Prarthana Samaj Road, Vile Parle East, Mumbai, Maharashtra, 400057, India",,/new-alliance-fine-chem-private-limited-300049/,http://www.edta-chelate.com/,,,100,Rs 100 Crores,,,,"ISO 9001:2015, ISO 22000",,Sales Executive,Mr Anand,info@newalliance.co.in,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=New Alliance Fine Chem Private Limited+3+/4,+Saurabh+CHSL,+65,+Prarthana+Samaj+Road,+Vile+Parle+East,+Mumbai+Maharashtra+400057+India"
,9989447,24AAECJ0627M1ZL,JIGS CHEMICAL LIMITED,Amino Acids manufacturer,Raw material,Manufacturer | Exporter | Trader,"206, 2nd  Floor, Sachet 2, Opposite GLS College, Near Mardia Plaza, CG Road, Ellisbridge, Ahmedabad, Gujarat, 380009, India",,/jigs-chemical-limited-9989447/,http://www.jigspharma.com/,,,15,Rs 100 Crores,,,,,,Director,Mr Jigen Bipinchandra Shah,trade@jigschemical.com,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=Jigs Chemical Limited+206,+2nd+Floor,+Sachet+2,+Opposite+GLS+College,+Near+Mardia+Plaza,+CG+Road,+Ellisbridge,+Ahmedabad+Gujarat+380009+India"
,29831841,24AAOCA5734C2ZU,ALAX BIORESEARCH PRIVATE LIMITED,Amino Acids manufacturer,Raw material,Manufacturer | Exporter | Supplier,"Plot No- 5, Tim Engineering Estata, vasna- Chacharwadi Road, bavla Highway, Ahmedabad, Gujarat, 382213, India",,/alax-bioresearch-private-limited-29831841/,http://www.alaxbioresearch.com/,,,10,Rs 2 Crores,,,,,,Director,Mr Manish Poriya,manishporiya_989@yahoo.com,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=Alax Bioresearch Private Limited+Plot+No-+5,+Tim+Engineering+Estata,+vasna-+Chacharwadi+Road,+bavla+Highway,+Ahmedabad+Gujarat+382213+India"
,8042676,24ADVPN9611L2ZU,NR LIFE CARE,Amino Acids manufacturer,Raw material,Manufacturer | Exporter | Trader | Distributor | Service Provider,"44, First Floor, Takshashila Habitat, Nr. Eco Park, Odhav-Vastral, S.P. Ring Road, Ahmedabad, Gujarat, 382415, India",,/nr-life-care-8042676/,http://www.nrlifecare.com/,,,12,,,,,drug licence,,Managing Director,Nr Lifecare,nrlifecare@gmail.com,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=Nr Life Care+44,+First+Floor,+Takshashila+Habitat,+Nr.+Eco+Park,+Odhav-Vastral,+S.P.+Ring+Road,+Ahmedabad+Gujarat+382415+India"
,275024,27AABFG0674R1ZY,GOKUL EXIMP,Amino Acids manufacturer,Raw material,Manufacturer | Exporter | Trader | Supplier,"Office No-25-A, Juhu Supreme Shopping Centre, Gulmohar Cross Road, No. 9, JVPD Scheme, Mumbai, Maharashtra, 400049, India",,/gokul-eximp-275024/,http://www.gokuleximp.co/,,,5,Rs 15 Crores,,,,,,Partner,Mr Rohit Agarwal,gokuleximp@gmail.com,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=Gokul Eximp+Office+No-25-A,+Juhu+Supreme+Shopping+Centre,+Gulmohar+Cross+Road,+No.+9,+JVPD+Scheme,+Mumbai+Maharashtra+400049+India"
,64433452,24AACFM7712M1Z6,MARUTI LABORATORY,Amino Acids manufacturer,Raw material,Manufacturer | Exporter,"33, Ajanta Industrial Estate, Vasna Iyava Road, Sanand, Ahmedabad, Gujarat, 382110, India",,/maruti-laboratory-64433452/,http://www.marutilaboratory.com/,,,40,Rs 100 Crores,,,,,,Marketing Manager,Ms Renuka Trapasiya,info.marutilaboratory@gmail.com,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=Maruti Laboratory+33,+Ajanta+Industrial+Estate,+Vasna+Iyava+Road,+Sanand,+Ahmedabad+Gujarat+382110+India"
,2146999,24AACCE1638F2Z1,EAGLE PLANT PROTECT PVT. LTD.,Amino Acids manufacturer,Raw material,Manufacturer | Exporter | Trader | Distributor,"Paiki 5 173 & 174 Paiki 5 Paiki 1 Near Eco Project, Near Ajanta Industrial Estate Ahmedabad, Gujarat, 382170, India",,/eagle-plant-protect-pvt-ltd-2146999/,http://www.eagleplant.in/,,,17,Rs 27 Crores,,,,AN ISO 9001: 2008 & 14001 : 2004,,Managing Director,Mr  Paresh V Pachani,cmd@eagleplantprotect.com,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=Eagle Plant Protect Pvt. Ltd.+Paiki+5+173++174+Paiki+5+Paiki+1+Near+Eco+Project,+Near+Ajanta+Industrial+Estate+Ahmedabad+Gujarat+382170+India"
,1106568,27AAAFA2099R1ZY,A. B. ENTERPRISES,Amino Acids manufacturer,Raw material,Manufacturer | Exporter | Trader | Supplier | Distributor,"B-Wing, 711, Damji Shamji Corporate Square, Laxmi Nagar, Mumbai, Maharashtra, 400075, India",,/a-b-enterprises-1106568/,http://www.abchemicalindustries.com/,,,9,,,,,,,Partner,Mr Manoharlal Bang,bang.manoharlal@gmail.com,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=A. B. Enterprises+B-Wing,+711,+Damji+Shamji+Corporate+Square,+Laxmi+Nagar,+Mumbai+Maharashtra+400075+India"
,9655939,24AAICN0244J1ZM,NUTRA HEALTHCARE PRIVATE LIMITED,Amino Acids manufacturer,Raw material,Manufacturer | Exporter,"2, Om Industrial Estate, Ta, 117 TO 120, Makna Rd, Kamrej, Surat, Gujarat, 394325, India",,/nutra-healthcare-private-limited-9655939/,http://www.nutraceuticalproduct.com/,,,200,USD 400 Million,,,,"ISO 22000-2005,WHO-GMP, HALAL, HACCP & FSSAI CERTIFIED COMPANY.",,GM,Mr Najib Patel,info@nutrahealthcare.com,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=Nutra Healthcare Private Limited+2,+Om+Industrial+Estate,+Ta,+117+TO+120,+Makna+Rd,+Kamrej,+Surat+Gujarat+394325+India"
,2822459,24AADCR9406M1Z3,REDOX INDUSTRIES LIMITED,Amino Acids manufacturer,Raw material,Manufacturer | Exporter | Trader,"B-411, Signature-2, Opp. Relief Hotel, Sarkhej-Sanad Road, Sarkhej, Ahmedabad, Gujarat, 382210, India",,/redox-industries-limited-2822459/,http://www.redoxagro.com/,,,40,Rs 35 Crores,,,,,,Trade Manager,Ms Renuka A Trapasiya,redox.trade2008@gmail.com,,,,https://www.tradeindia.com/,19-11-2025,,,,"https://maps.google.com/?q=Redox Industries Limited+B-411,+Signature-2,+Opp.+Relief+Hotel,+Sarkhej-Sanad+Road,+Sarkhej,+Ahmedabad+Gujarat+382210+India"
